Machine,SizeOfOptionalHeader,Characteristics,MajorLinkerVersion,MinorLinkerVersion,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,BaseOfData,ImageBase,SectionAlignment,FileAlignment,MajorOperatingSystemVersion,MinorOperatingSystemVersion,MajorImageVersion,MinorImageVersion,MajorSubsystemVersion,MinorSubsystemVersion,SizeOfImage,SizeOfHeaders,CheckSum,Subsystem,DllCharacteristics,SizeOfStackReserve,SizeOfStackCommit,SizeOfHeapReserve,SizeOfHeapCommit,LoaderFlags,NumberOfRvaAndSizes,SectionsNb,SectionsMeanEntropy,SectionsMinEntropy,SectionsMaxEntropy,SectionsMeanRawsize,SectionsMinRawsize,SectionMaxRawsize,SectionsMeanVirtualsize,SectionsMinVirtualsize,SectionMaxVirtualsize,ImportsNbDLL,ImportsNb,ImportsNbOrdinal,ExportNb,ResourcesNb,ResourcesMeanEntropy,ResourcesMinEntropy,ResourcesMaxEntropy,ResourcesMeanSize,ResourcesMinSize,ResourcesMaxSize,LoadConfigurationSize,VersionInformationSize,path,pkg
34404,240,34,3,0,5952000,449024,0,575808,4096,0,5368709120,4096,512,6,1,1,0,6,1,45637632,1536,0,3,33120,2097152,4096,1048576,4096,0,16,8,4.36625162423281,0.020393135236084953,6.1695334319268555,1461632.0,512,5952000,5701095.625,4,34366720,1,50,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,npm_esbuild-win32-x64-0.28.2\package\esbuild.exe,npm_esbuild-win32-x64-0.28.2
34404,240,546,3,0,4630528,312320,0,443104,4096,0,4194304,4096,512,6,1,1,0,6,1,9179136,1536,0,3,33120,2097152,4096,1048576,4096,0,16,6,4.290161226657851,0.020393135236084953,6.091570179708801,1459882.6666666667,512,4630528,1526111.3333333333,4,4630164,1,41,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,npm_esbuild-windows-64-0.15.18\package\esbuild.exe,npm_esbuild-windows-64-0.15.18
34404,240,8226,14,0,13117952,5495808,0,4576,4096,0,6442450944,4096,512,6,0,0,0,6,0,20930560,1024,0,2,352,1048576,4096,1048576,4096,0,16,7,4.946626543409344,0.05920972724115448,7.825817655370387,2659108.5714285714,512,13117952,2986851.4285714286,142,13117814,27,549,0,3246,0,0.0,0.0,0.0,0.0,0,0,312,0,npm_img-sharp-libvips-win32-x64-1.3.3\package\lib\libvips-42.dll,npm_img-sharp-libvips-win32-x64-1.3.3
34404,240,8226,14,0,13117952,5495808,0,4576,4096,0,6442450944,4096,512,6,0,0,0,6,0,20930560,1024,0,2,352,1048576,4096,1048576,4096,0,16,7,4.946626543409344,0.05920972724115448,7.825817655370387,2659108.5714285714,512,13117952,2986851.4285714286,142,13117814,27,549,0,3246,0,0.0,0.0,0.0,0.0,0,0,312,0,npm_img-sharp-win32-x64-0.35.4\package\lib\libvips-42.dll,npm_img-sharp-win32-x64-0.35.4
34404,240,8226,14,44,205312,131072,0,142100,4096,0,6442450944,4096,512,6,0,0,0,6,0,356352,1024,0,2,352,1048576,4096,1048576,4096,0,16,7,4.20837829013477,0.0,6.19988446703722,47469.71428571428,512,205312,47856.28571428572,256,204880,2,183,0,667,1,4.911614515735104,4.911614515735104,4.911614515735104,381.0,381,381,320,0,npm_img-sharp-win32-x64-0.35.4\package\lib\libvips-cpp-8.18.6.dll,npm_img-sharp-win32-x64-0.35.4
34404,240,8226,14,44,313856,131584,0,205508,4096,0,6442450944,4096,512,6,0,0,0,6,0,466944,1024,0,2,352,1048576,4096,1048576,4096,0,16,7,4.285084543709815,0.0,6.3350789001580825,63049.142857142855,512,313856,63382.28571428572,256,313676,3,294,0,2,1,4.911614515735104,4.911614515735104,4.911614515735104,381.0,381,381,320,0,npm_img-sharp-win32-x64-0.35.4\package\lib\sharp-win32-x64-0.35.4.node,npm_img-sharp-win32-x64-0.35.4
34404,240,8226,14,51,8687616,807936,0,8388960,4096,0,6442450944,4096,512,6,0,0,0,6,0,9510912,1024,0,2,352,1048576,4096,1048576,4096,0,16,6,4.459379244434255,0.0,6.572046065266968,1580629.3333333333,512,8687616,1582372.6666666667,256,8687424,4,98,0,1,0,0.0,0.0,0.0,0.0,0,0,320,0,npm_lightningcss-win32-x64-msvc-1.33.0\package\lightningcss.win32-x64-msvc.node,npm_lightningcss-win32-x64-msvc-1.33.0
34404,240,8226,14,0,78981632,27206144,0,77673952,4096,0,6442450944,4096,512,6,0,0,0,6,0,106246144,1024,0,2,352,1048576,4096,1048576,4096,0,16,9,4.038092600979206,0.0,7.246291335613705,11798641.777777778,512,78981632,11802458.111111112,256,78981206,8,216,0,21,0,0.0,0.0,0.0,0.0,0,0,320,0,npm_next-swc-win32-x64-msvc-16.3.5\package\next-swc.win32-x64-msvc.node,npm_next-swc-win32-x64-msvc-16.3.5
34404,240,8226,14,51,1965568,725504,0,1832784,4096,0,6442450944,4096,512,6,0,0,0,6,0,2703360,1024,0,2,352,1048576,4096,1048576,4096,0,16,6,4.1562703362837885,0.0,6.28899962537527,444160.0,512,1965568,448250.3333333333,256,1965232,6,118,0,1,0,0.0,0.0,0.0,0.0,0,0,320,0,npm_rollup-rollup-win32-x64-msvc-4.63.3\package\rollup.win32-x64-msvc.node,npm_rollup-rollup-win32-x64-msvc-4.63.3
34404,240,8226,14,0,21505024,7058432,0,20784544,4096,0,6442450944,4096,512,6,0,0,0,6,0,28622848,1024,0,2,352,1048576,4096,1048576,4096,0,16,8,3.607508727763574,0.0,6.575224725361534,3570432.0,512,21505024,3574543.375,256,21504886,7,161,0,49,0,0.0,0.0,0.0,0.0,0,0,320,0,npm_swc-core-win32-x64-msvc-1.16.2\package\swc.win32-x64-msvc.node,npm_swc-core-win32-x64-msvc-1.16.2
